## UCR Liftover Audit Report
## Generated: 2026-03-17T20:41:18.329866+00:00
## Source: UCSC unusualcons/ultras table (hg38.ultraConserved.bb)
## Source assembly: GRCh38 / hg38
## Target assembly: T2T-CHM13v2.0 / Hs1
## Chain file: hg38ToHs1.over.chain.gz
## UCSC ultras bigBed SHA-256: 6313da26f27000389de7fea2e0676cbb162c9ed9c862938c9553aaf08e4c680e
## Chain SHA-256: 926d4583eda8f90c88434293859b06906573f2469630e898b8b475ac8751327a
##
ucr_id	hg38_chrom	hg38_start	hg38_end	hg38_length	status	t2t_chrom	t2t_start	t2t_end	t2t_length	delta_length	delta_start	chrom_changed	reason
uc.39	chr1	164054297	164054653	356	MAPPED	chr1	163399875	163400231	356	0	-654422	NO	
uc.40	chr1	164668724	164668971	247	MAPPED	chr1	164014980	164015227	247	0	-653744	NO	
uc.41	chr1	213425423	213425639	216	MAPPED	chr1	212668499	212668715	216	0	-756924	NO	
uc.42	chr1	215715689	215715955	266	MAPPED	chr1	214956073	214956339	266	0	-759616	NO	
uc.43	chr1	243732732	243732989	257	MAPPED	chr1	243143873	243144130	257	0	-588859	NO	
uc.44	chr1	244054404	244054634	230	MAPPED	chr1	243470894	243471124	230	0	-583510	NO	
uc.45	chr1	244853383	244853586	203	MAPPED	chr1	244269687	244269890	203	0	-583696	NO	
uc.46	chr1	244854300	244854517	217	MAPPED	chr1	244270604	244270821	217	0	-583696	NO	
uc.283	chr10	49396710	49396987	277	MAPPED	chr10	50245495	50245772	277	0	848785	NO	
uc.284	chr10	49398809	49399018	209	MAPPED	chr10	50247594	50247803	209	0	848785	NO	
uc.285	chr10	68756233	68756465	232	MAPPED	chr10	69625446	69625678	232	0	869213	NO	
uc.286	chr10	75379265	75379517	252	MAPPED	chr10	76253306	76253558	252	0	874041	NO	
uc.287	chr10	75736184	75736441	257	MAPPED	chr10	76610287	76610544	257	0	874103	NO	
uc.288	chr10	75967424	75967647	223	MAPPED	chr10	76841538	76841761	223	0	874114	NO	
uc.289	chr10	76230780	76231034	254	MAPPED	chr10	77104850	77105104	254	0	874070	NO	
uc.290	chr10	76282523	76282729	206	MAPPED	chr10	77156553	77156759	206	0	874030	NO	
uc.291	chr10	76523865	76524096	231	MAPPED	chr10	77392507	77392738	231	0	868642	NO	
uc.292	chr10	96955697	96955914	217	MAPPED	chr10	97836599	97836816	217	0	880902	NO	
uc.293	chr10	100612911	100613154	243	MAPPED	chr10	101495995	101496238	243	0	883084	NO	
uc.294	chr10	100613859	100614303	444	MAPPED	chr10	101496943	101497387	444	0	883084	NO	
uc.295	chr10	100615342	100615551	209	MAPPED	chr10	101498426	101498635	209	0	883084	NO	
uc.296	chr10	100655348	100655809	461	MAPPED	chr10	101538676	101539137	461	0	883328	NO	
uc.297	chr10	100659462	100659826	364	MAPPED	chr10	101542790	101543154	364	0	883328	NO	
uc.298	chr10	100687900	100688259	359	MAPPED	chr10	101571235	101571594	359	0	883335	NO	
uc.299	chr10	100749677	100749887	210	MAPPED	chr10	101633039	101633249	210	0	883362	NO	
uc.300	chr10	100787360	100787568	208	MAPPED	chr10	101670729	101670937	208	0	883369	NO	
uc.301	chr10	100808033	100808317	284	MAPPED	chr10	101691387	101691671	284	0	883354	NO	
uc.302	chr10	101219422	101219763	341	MAPPED	chr10	102102777	102103118	341	0	883355	NO	
uc.303	chr10	101292669	101292941	272	MAPPED	chr10	102176666	102176938	272	0	883997	NO	
uc.304	chr10	101322746	101323018	272	MAPPED	chr10	102206732	102207004	272	0	883986	NO	
uc.305	chr10	101451677	101451982	305	MAPPED	chr10	102335719	102336024	305	0	884042	NO	
uc.306	chr10	101452281	101452505	224	MAPPED	chr10	102336323	102336547	224	0	884042	NO	
uc.307	chr10	101484225	101484457	232	MAPPED	chr10	102368263	102368495	232	0	884038	NO	
uc.308	chr10	101486054	101486331	277	MAPPED	chr10	102370092	102370369	277	0	884038	NO	
uc.309	chr10	101507273	101507541	268	MAPPED	chr10	102391327	102391595	268	0	884054	NO	
uc.310	chr10	112644463	112644692	229	MAPPED	chr10	113535266	113535495	229	0	890803	NO	
uc.311	chr10	118314889	118315108	219	MAPPED	chr10	119209904	119210123	219	0	895015	NO	
uc.312	chr10	118317024	118317346	322	MAPPED	chr10	119212039	119212361	322	0	895015	NO	
uc.313	chr10	119580661	119580892	231	MAPPED	chr10	120478240	120478471	231	0	897579	NO	
uc.314	chr10	123092686	123092888	202	MAPPED	chr10	123967712	123967914	202	0	875026	NO	
uc.315	chr10	123093098	123093333	235	MAPPED	chr10	123968124	123968359	235	0	875026	NO	
uc.316	chr10	125216995	125217235	240	MAPPED	chr10	126098016	126098256	240	0	881021	NO	
uc.317	chr10	129648073	129648291	218	MAPPED	chr10	130575060	130575278	218	0	926987	NO	
uc.318	chr10	129893321	129893642	321	MAPPED	chr10	130820628	130820949	321	0	927307	NO	
uc.319	chr11	8283147	8283463	316	MAPPED	chr11	8364444	8364760	316	0	81297	NO	
uc.320	chr11	8296286	8296621	335	MAPPED	chr11	8377576	8377911	335	0	81290	NO	
uc.321	chr11	15602877	15603081	204	MAPPED	chr11	15700811	15701015	204	0	97934	NO	
uc.322	chr11	16294804	16295027	223	MAPPED	chr11	16392665	16392888	223	0	97861	NO	
uc.323	chr11	16453788	16453988	200	MAPPED	chr11	16551608	16551808	200	0	97820	NO	
uc.324	chr11	30535973	30536198	225	MAPPED	chr11	30670269	30670494	225	0	134296	NO	
uc.325	chr11	31664095	31664330	235	MAPPED	chr11	31799923	31800158	235	0	135828	NO	
uc.326	chr11	31764131	31764446	315	MAPPED	chr11	31899944	31900259	315	0	135813	NO	
uc.327	chr11	31764735	31765003	268	MAPPED	chr11	31900548	31900816	268	0	135813	NO	
uc.328	chr11	31804114	31804345	231	MAPPED	chr11	31939920	31940151	231	0	135806	NO	
uc.329	chr11	32176445	32176752	307	MAPPED	chr11	32312269	32312576	307	0	135824	NO	
uc.330	chr11	66626424	66626631	207	MAPPED	chr11	66622669	66622876	207	0	-3755	NO	
uc.331	chr11	83484115	83484333	218	MAPPED	chr11	83420600	83420818	218	0	-63515	NO	
uc.332	chr11	116361972	116362309	337	MAPPED	chr11	116376045	116376382	337	0	14073	NO	
uc.333	chr11	124774750	124775020	270	MAPPED	chr11	124803413	124803683	270	0	28663	NO	
uc.334	chr11	131998050	131998272	222	MAPPED	chr11	132035350	132035572	222	0	37300	NO	
uc.335	chr12	16562479	16562693	214	MAPPED	chr12	16439880	16440094	214	0	-122599	NO	
uc.336	chr12	24139071	24139322	251	MAPPED	chr12	24010045	24010296	251	0	-129026	NO	
uc.337	chr12	41355376	41355594	218	MAPPED	chr12	41313930	41314148	218	0	-41446	NO	
uc.338	chr12	53464704	53464927	223	MAPPED	chr12	53430734	53430957	223	0	-33970	NO	
uc.339	chr12	53677311	53677563	252	MAPPED	chr12	53643445	53643697	252	0	-33866	NO	
uc.340	chr12	53697047	53697306	259	MAPPED	chr12	53662859	53663118	259	0	-34188	NO	
uc.341	chr12	53989133	53989447	314	MAPPED	chr12	53954641	53954955	314	0	-34492	NO	
uc.342	chr12	54016709	54016936	227	MAPPED	chr12	53982282	53982509	227	0	-34427	NO	
uc.343	chr12	54028656	54029044	388	MAPPED	chr12	53994217	53994605	388	0	-34439	NO	
uc.344	chr12	54033101	54033355	254	MAPPED	chr12	53998666	53998920	254	0	-34435	NO	
uc.345	chr12	54053815	54054116	301	MAPPED	chr12	54019380	54019681	301	0	-34435	NO	
uc.346	chr12	106582731	106582933	202	MAPPED	chr12	106546388	106546590	202	0	-36343	NO	
uc.347	chr13	71219855	71220064	209	MAPPED	chr13	70445054	70445263	209	0	-774801	NO	
uc.348	chr13	71489224	71489464	240	MAPPED	chr13	70714391	70714631	240	0	-774833	NO	
uc.349	chr13	71547169	71547372	203	MAPPED	chr13	70772371	70772574	203	0	-774798	NO	
uc.350	chr13	71681967	71682207	240	MAPPED	chr13	70907220	70907460	240	0	-774747	NO	
uc.351	chr13	72094761	72095016	255	MAPPED	chr13	71316368	71316623	255	0	-778393	NO	
uc.352	chr13	72120026	72120226	200	MAPPED	chr13	71341634	71341834	200	0	-778392	NO	
uc.353	chr13	72197414	72197737	323	MAPPED	chr13	71418995	71419318	323	0	-778419	NO	
uc.354	chr13	78402693	78402928	235	MAPPED	chr13	77627944	77628179	235	0	-774749	NO	
uc.355	chr13	94966627	94966855	228	MAPPED	chr13	94170132	94170360	228	0	-796495	NO	
uc.356	chr13	97356565	97356816	251	MAPPED	chr13	96562874	96563125	251	0	-793691	NO	
uc.357	chr13	112062022	112062264	242	MAPPED	chr13	111305510	111305752	242	0	-756512	NO	
uc.358	chr14	25908827	25909053	226	MAPPED	chr14	20106838	20107064	226	0	-5801989	NO	
uc.359	chr14	26445761	26446085	324	MAPPED	chr14	20643644	20643968	324	0	-5802117	NO	
uc.360	chr14	26446175	26446462	287	MAPPED	chr14	20644058	20644345	287	0	-5802117	NO	
uc.361	chr14	28763928	28764195	267	MAPPED	chr14	22961862	22962129	267	0	-5802066	NO	
uc.362	chr14	28879545	28879784	239	MAPPED	chr14	23077451	23077690	239	0	-5802094	NO	
uc.363	chr14	29392112	29392377	265	MAPPED	chr14	23590034	23590299	265	0	-5802078	NO	
uc.364	chr14	30243552	30243759	207	MAPPED	chr14	24441389	24441596	207	0	-5802163	NO	
uc.365	chr14	30273155	30273433	278	MAPPED	chr14	24470996	24471274	278	0	-5802159	NO	
uc.366	chr14	30913500	30913702	202	MAPPED	chr14	25110987	25111189	202	0	-5802513	NO	
uc.367	chr14	33375256	33375554	298	MAPPED	chr14	27572546	27572844	298	0	-5802710	NO	
uc.368	chr14	33599369	33599597	228	MAPPED	chr14	27796758	27796986	228	0	-5802611	NO	
uc.369	chr14	33653410	33653623	213	MAPPED	chr14	27850803	27851016	213	0	-5802607	NO	
uc.370	chr14	33733364	33733757	393	MAPPED	chr14	27930715	27931108	393	0	-5802649	NO	
uc.371	chr14	35550982	35551278	296	MAPPED	chr14	29738708	29739004	296	0	-5812274	NO	
uc.372	chr14	35573828	35574105	277	MAPPED	chr14	29761561	29761838	277	0	-5812267	NO	
uc.373	chr14	36112600	36112994	394	MAPPED	chr14	30301397	30301791	394	0	-5811203	NO	
uc.374	chr14	37246707	37246931	224	MAPPED	chr14	31436125	31436349	224	0	-5810582	NO	
uc.375	chr14	37308014	37308314	300	MAPPED	chr14	31497072	31497372	300	0	-5810942	NO	
uc.376	chr14	45096546	45096836	290	MAPPED	chr14	39288557	39288847	290	0	-5807989	NO	
uc.377	chr14	45109819	45110036	217	MAPPED	chr14	39301830	39302047	217	0	-5807989	NO	
uc.378	chr14	79861133	79861384	251	MAPPED	chr14	74071208	74071459	251	0	-5789925	NO	
uc.379	chr14	96965030	96965282	252	MAPPED	chr14	91196859	91197111	252	0	-5768171	NO	
uc.380	chr14	97296256	97296488	232	MAPPED	chr14	91528153	91528385	232	0	-5768103	NO	
uc.381	chr14	97412952	97413190	238	MAPPED	chr14	91644833	91645071	238	0	-5768119	NO	
uc.382	chr15	35626710	35626910	200	MAPPED	chr15	33432045	33432245	200	0	-2194665	NO	
uc.383	chr15	36527725	36527994	269	MAPPED	chr15	34333275	34333544	269	0	-2194450	NO	
uc.384	chr15	36673191	36673457	266	MAPPED	chr15	34478655	34478921	266	0	-2194536	NO	
uc.385	chr15	36893468	36893677	209	MAPPED	chr15	34698919	34699128	209	0	-2194549	NO	
uc.386	chr15	37229807	37230010	203	MAPPED	chr15	35035185	35035388	203	0	-2194622	NO	
uc.387	chr15	41739855	41740093	238	MAPPED	chr15	39545733	39545971	238	0	-2194122	NO	
uc.388	chr15	57133326	57133624	298	MAPPED	chr15	54936586	54936884	298	0	-2196740	NO	
uc.389	chr15	67373046	67373317	271	MAPPED	chr15	65195015	65195286	271	0	-2178031	NO	
uc.390	chr15	67585831	67586036	205	MAPPED	chr15	65407862	65408067	205	0	-2177969	NO	
uc.391	chr15	67747965	67748276	311	MAPPED	chr15	65569905	65570216	311	0	-2178060	NO	
uc.392	chr15	70099794	70100050	256	MAPPED	chr15	67922017	67922273	256	0	-2177777	NO	
uc.393	chr15	74621900	74622175	275	MAPPED	chr15	72491801	72492076	275	0	-2130099	NO	
uc.394	chr15	96692869	96693071	202	MAPPED	chr15	94457522	94457724	202	0	-2235347	NO	
uc.395	chr16	24567681	24567930	249	MAPPED	chr16	24844608	24844857	249	0	276927	NO	
uc.396	chr16	49060819	49061027	208	MAPPED	chr16	54858561	54858769	208	0	5797742	NO	
uc.397	chr16	49701936	49702247	311	MAPPED	chr16	55499632	55499943	311	0	5797696	NO	
uc.398	chr16	49856979	49857301	322	MAPPED	chr16	55654686	55655008	322	0	5797707	NO	
uc.399	chr16	50815079	50815293	214	MAPPED	chr16	56612761	56612975	214	0	5797682	NO	
uc.400	chr16	51637575	51637781	206	MAPPED	chr16	57435422	57435628	206	0	5797847	NO	
uc.401	chr16	52460802	52461052	250	MAPPED	chr16	58258685	58258935	250	0	5797883	NO	
uc.402	chr16	53620472	53620717	245	MAPPED	chr16	59418322	59418567	245	0	5797850	NO	
uc.403	chr16	54289942	54290148	206	MAPPED	chr16	60087934	60088140	206	0	5797992	NO	
uc.404	chr16	55189444	55189679	235	MAPPED	chr16	60987559	60987794	235	0	5798115	NO	
uc.405	chr16	59541490	59541700	210	MAPPED	chr16	65333604	65333814	210	0	5792114	NO	
uc.406	chr16	69646460	69646671	211	MAPPED	chr16	75448644	75448855	211	0	5802184	NO	
uc.407	chr16	69647251	69647577	326	MAPPED	chr16	75449435	75449761	326	0	5802184	NO	
uc.408	chr16	72787145	72787397	252	MAPPED	chr16	78604953	78605205	252	0	5817808	NO	
uc.409	chr16	73058971	73059215	244	MAPPED	chr16	78876745	78876989	244	0	5817774	NO	
uc.410	chr17	36655772	36655991	219	MAPPED	chr17	37642112	37642331	219	0	986340	NO	
uc.411	chr17	36972319	36972548	229	MAPPED	chr17	37959341	37959570	229	0	987022	NO	
uc.412	chr17	36979186	36979454	268	MAPPED	chr17	37966207	37966475	268	0	987021	NO	
uc.413	chr17	39410265	39410537	272	MAPPED	chr17	40274178	40274450	272	0	863913	NO	
uc.414	chr17	40092920	40093166	246	MAPPED	chr17	40956805	40957051	246	0	863885	NO	
uc.415	chr17	48586543	48586750	207	MAPPED	chr17	49450133	49450340	207	0	863590	NO	
uc.416	chr17	48593524	48593810	286	MAPPED	chr17	49457114	49457400	286	0	863590	NO	
uc.417	chr17	48604949	48605171	222	MAPPED	chr17	49468542	49468764	222	0	863593	NO	
uc.418	chr17	58004866	58005083	217	MAPPED	chr17	58878874	58879091	217	0	874008	NO	
uc.419	chr17	58005353	58005642	289	MAPPED	chr17	58879361	58879650	289	0	874008	NO	
uc.420	chr17	64500652	64500885	233	MAPPED	chr17	65370408	65370641	233	0	869756	NO	
uc.421	chr18	25113190	25113535	345	MAPPED	chr18	25307765	25308110	345	0	194575	NO	
uc.422	chr18	25168223	25168449	226	MAPPED	chr18	25362825	25363051	226	0	194602	NO	
uc.423	chr18	25176390	25176613	223	MAPPED	chr18	25370992	25371215	223	0	194602	NO	
uc.424	chr18	25187814	25188029	215	MAPPED	chr18	25382416	25382631	215	0	194602	NO	
uc.425	chr18	25285242	25285567	325	MAPPED	chr18	25479870	25480195	325	0	194628	NO	
uc.426	chr18	26335627	26335889	262	MAPPED	chr18	26529742	26530004	262	0	194115	NO	
uc.427	chr18	26657234	26657449	215	MAPPED	chr18	26851243	26851458	215	0	194009	NO	
uc.428	chr18	32773245	32773484	239	MAPPED	chr18	32964991	32965230	239	0	191746	NO	
uc.429	chr18	36900577	36900815	238	MAPPED	chr18	37093737	37093975	238	0	193160	NO	
uc.430	chr18	37483686	37483899	213	MAPPED	chr18	37677311	37677524	213	0	193625	NO	
uc.431	chr18	37598636	37598866	230	MAPPED	chr18	37792243	37792473	230	0	193607	NO	
uc.432	chr18	37984967	37985178	211	MAPPED	chr18	38179071	38179282	211	0	194104	NO	
uc.433	chr18	38483667	38483873	206	MAPPED	chr18	38677965	38678171	206	0	194298	NO	
uc.434	chr18	47244416	47244665	249	MAPPED	chr18	47434687	47434936	249	0	190271	NO	
uc.435	chr18	55422699	55422926	227	MAPPED	chr18	55625778	55626005	227	0	203079	NO	
uc.436	chr18	55587009	55587219	210	MAPPED	chr18	55790067	55790277	210	0	203058	NO	
uc.437	chr18	74645701	74645916	215	MAPPED	chr18	74875071	74875286	215	0	229370	NO	
uc.438	chr18	74645917	74646158	241	MAPPED	chr18	74875287	74875528	241	0	229370	NO	
uc.439	chr18	74651074	74651337	263	MAPPED	chr18	74880448	74880711	263	0	229374	NO	
uc.440	chr18	74651408	74651737	329	MAPPED	chr18	74880782	74881111	329	0	229374	NO	
uc.441	chr18	74856635	74856883	248	MAPPED	chr18	75086009	75086257	248	0	229374	NO	
uc.442	chr18	74880755	74881004	249	MAPPED	chr18	75110135	75110384	249	0	229380	NO	
uc.443	chr19	8462384	8462623	239	MAPPED	chr19	8450000	8450239	239	0	-12384	NO	
uc.444	chr19	30003871	30004259	388	MAPPED	chr19	32524288	32524676	388	0	2520417	NO	
uc.445	chr19	30075527	30075837	310	MAPPED	chr19	32595969	32596279	310	0	2520442	NO	
uc.446	chr19	30256946	30257218	272	MAPPED	chr19	32777398	32777670	272	0	2520452	NO	
uc.447	chr19	30276873	30277146	273	MAPPED	chr19	32797328	32797601	273	0	2520455	NO	
uc.448	chr19	30350622	30350854	232	MAPPED	chr19	32871161	32871393	232	0	2520539	NO	
uc.449	chr19	30512633	30512923	290	MAPPED	chr19	33033123	33033413	290	0	2520490	NO	
uc.450	chr19	31096719	31096930	211	MAPPED	chr19	33614974	33615185	211	0	2518255	NO	
uc.451	chr19	31315713	31315938	225	MAPPED	chr19	33834308	33834533	225	0	2518595	NO	
uc.452	chr19	31337040	31337244	204	MAPPED	chr19	33855624	33855828	204	0	2518584	NO	
uc.453	chr19	41933164	41933489	325	MAPPED	chr19	44752446	44752771	325	0	2819282	NO	
uc.47	chr2	7634519	7634746	227	MAPPED	chr2	7658658	7658885	227	0	24139	NO	
uc.48	chr2	20278571	20278869	298	MAPPED	chr2	20312122	20312420	298	0	33551	NO	
uc.49	chr2	33588341	33588548	207	MAPPED	chr2	33634497	33634704	207	0	46156	NO	
uc.50	chr2	38749158	38749380	222	MAPPED	chr2	38757945	38758167	222	0	8787	NO	
uc.51	chr2	57745423	57745630	207	MAPPED	chr2	57745994	57746201	207	0	571	NO	
uc.52	chr2	58881050	58881324	274	MAPPED	chr2	58886007	58886281	274	0	4957	NO	
uc.53	chr2	58906175	58906407	232	MAPPED	chr2	58911131	58911363	232	0	4956	NO	
uc.54	chr2	58972267	58972476	209	MAPPED	chr2	58977241	58977450	209	0	4974	NO	
uc.55	chr2	59519442	59519682	240	MAPPED	chr2	59524829	59525069	240	0	5387	NO	
uc.56	chr2	59720695	59720897	202	MAPPED	chr2	59726316	59726518	202	0	5621	NO	
uc.57	chr2	59912104	59912350	246	MAPPED	chr2	59917752	59917998	246	0	5648	NO	
uc.58	chr2	60070827	60071030	203	MAPPED	chr2	60076516	60076719	203	0	5689	NO	
uc.59	chr2	60071247	60071467	220	MAPPED	chr2	60076936	60077156	220	0	5689	NO	
uc.60	chr2	60214424	60214641	217	MAPPED	chr2	60220113	60220330	217	0	5689	NO	
uc.61	chr2	60460437	60460763	326	MAPPED	chr2	60466235	60466561	326	0	5798	NO	
uc.62	chr2	60553546	60553780	234	MAPPED	chr2	60559384	60559618	234	0	5838	NO	
uc.63	chr2	61525365	61525643	278	MAPPED	chr2	61531477	61531755	278	0	6112	NO	
uc.64	chr2	62966955	62967200	245	MAPPED	chr2	62974037	62974282	245	0	7082	NO	
uc.65	chr2	66071456	66071668	212	MAPPED	chr2	66082249	66082461	212	0	10793	NO	
uc.66	chr2	72947873	72948120	247	MAPPED	chr2	72960818	72961065	247	0	12945	NO	
uc.67	chr2	104120267	104120484	217	MAPPED	chr2	104580163	104580380	217	0	459896	NO	
uc.68	chr2	143157152	143157407	255	MAPPED	chr2	143605354	143605609	255	0	448202	NO	
uc.69	chr2	143354540	143354841	301	MAPPED	chr2	143802736	143803037	301	0	448196	NO	
uc.70	chr2	143679769	143680006	237	MAPPED	chr2	144128009	144128246	237	0	448240	NO	
uc.71	chr2	143955288	143955536	248	MAPPED	chr2	144403304	144403552	248	0	448016	NO	
uc.72	chr2	143957404	143957811	407	MAPPED	chr2	144405420	144405827	407	0	448016	NO	
uc.73	chr2	144004745	144004946	201	MAPPED	chr2	144452761	144452962	201	0	448016	NO	
uc.74	chr2	144068395	144068933	538	MAPPED	chr2	144516413	144516951	538	0	448018	NO	
uc.75	chr2	144388282	144388518	236	MAPPED	chr2	144836341	144836577	236	0	448059	NO	
uc.76	chr2	144403565	144403900	335	MAPPED	chr2	144851624	144851959	335	0	448059	NO	
uc.77	chr2	144428197	144428493	296	MAPPED	chr2	144876262	144876558	296	0	448065	NO	
uc.78	chr2	144430786	144431034	248	MAPPED	chr2	144878851	144879099	248	0	448065	NO	
uc.79	chr2	144439609	144439904	295	MAPPED	chr2	144887675	144887970	295	0	448066	NO	
uc.80	chr2	144443284	144443578	294	MAPPED	chr2	144891336	144891630	294	0	448052	NO	
uc.81	chr2	146376496	146376707	211	MAPPED	chr2	146826660	146826871	211	0	450164	NO	
uc.82	chr2	155870586	155870796	210	MAPPED	chr2	156323209	156323419	210	0	452623	NO	
uc.83	chr2	156135114	156135410	296	MAPPED	chr2	156587787	156588083	296	0	452673	NO	
uc.84	chr2	156338193	156338402	209	MAPPED	chr2	156790890	156791099	209	0	452697	NO	
uc.85	chr2	156694901	156695149	248	MAPPED	chr2	157148030	157148278	248	0	453129	NO	
uc.86	chr2	156803597	156803937	340	MAPPED	chr2	157256722	157257062	340	0	453125	NO	
uc.87	chr2	157043756	157044046	290	MAPPED	chr2	157496885	157497175	290	0	453129	NO	
uc.88	chr2	161238530	161238842	312	MAPPED	chr2	161696834	161697146	312	0	458304	NO	
uc.89	chr2	161382161	161382468	307	MAPPED	chr2	161840453	161840760	307	0	458292	NO	
uc.90	chr2	161416515	161416721	206	MAPPED	chr2	161874858	161875064	206	0	458343	NO	
uc.91	chr2	162188511	162188718	207	MAPPED	chr2	162645161	162645368	207	0	456650	NO	
uc.92	chr2	163594168	163594477	309	MAPPED	chr2	164051424	164051733	309	0	457256	NO	
uc.93	chr2	163805396	163805659	263	MAPPED	chr2	164262672	164262935	263	0	457276	NO	
uc.94	chr2	163987659	163987859	200	MAPPED	chr2	164444926	164445126	200	0	457267	NO	
uc.95	chr2	170715019	170715270	251	MAPPED	chr2	171192151	171192402	251	0	477132	NO	
uc.96	chr2	171964151	171964412	261	MAPPED	chr2	172441942	172442203	261	0	477791	NO	
uc.97	chr2	171966109	171966551	442	MAPPED	chr2	172443900	172444342	442	0	477791	NO	
uc.98	chr2	172091789	172092027	238	MAPPED	chr2	172578032	172578270	238	0	486243	NO	
uc.99	chr2	172093652	172094050	398	MAPPED	chr2	172579895	172580293	398	0	486243	NO	
uc.100	chr2	173250051	173250258	207	MAPPED	chr2	173736635	173736842	207	0	486584	NO	
uc.101	chr2	173909752	173910006	254	MAPPED	chr2	174396087	174396341	254	0	486335	NO	
uc.102	chr2	174081680	174082018	338	MAPPED	chr2	174568024	174568362	338	0	486344	NO	
uc.103	chr2	174104943	174105176	233	MAPPED	chr2	174593685	174593918	233	0	488742	NO	
uc.104	chr2	174122205	174122421	216	MAPPED	chr2	174610932	174611148	216	0	488727	NO	
uc.105	chr2	174125058	174125281	223	MAPPED	chr2	174613785	174614008	223	0	488727	NO	
